At which research institution are you a student or staff member?,Which of these terms best describe your career stage or role? (select one or more),How would you describe your MATLAB experience? (Using terms defined by The Carpentries),Please add any additional detail if you wish,"How would you describe your experience of software development and code in general?

Please consider any experience you have of MATLAB as well as other languages and tools outside of MATLAB.",Please add any additional detail if you wish,"Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Version control (e.g. git, subversion, mercurial, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Online code hosting (e.g. GitHub, GitLab, BitBucket)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Dependency and/or  environment management (e.g. conda, renv, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Continuous Integration/Deployment (e.g. automated testing, GitHub Actions, Travis, Jenkins etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Literate programming (e.g. jupyter notebooks, rmarkdown, live scripts, quarto)]",Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Documentation generation and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Data availability and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Software testing],Is there anything else you'd like to tell us following this question?,"Do you use git as a version control system with MATLAB? If so, which interface(s) do you use?",Is there anything else you'd like to tell us following this question?,Which of the following MATLAB tools and language features do you use?,"If you have indicated that you’re aware of a tool or reproducibility concept but that you don’t use it, please tell us what would make you more likely to use it.","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [MATLAB Projects (https://uk.mathworks.com/help/matlab/projects.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Version control (e.g. git)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Custom MATLAB Toolbox Development]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Publishing code (sharing code with a research publication)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Software Licensing]","In general, which training formats do you favour for learning coding/software development skills?","When you seek guidance in writing code, where do you turn to?",Is there anything else you’d like to share on the topic of MATLAB and reproducibility methods?
Psychological institue (IPSY) at UCLouvain (Belgium),Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,"Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitKraken Client, Datalad",,"Functions, Classes and Object-Oriented Programming, Custom toolbox development",,Would like to learn (on my own),Would like to learn (in structured training),Not interested,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),"In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials",Online Q&A/Forums/Stack Overflow/MATLAB Central,
Student,Doctoral Student (PhD/EngD or similar),Competent Practitioner,I normally always use the matlab for almost 10 years,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,,MATLAB's source control tools,,"Functions, Classes and Object-Oriented Programming, MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html)",,Would like to learn (in structured training),Would like to learn (on my own),Not interested,Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),"In-person lecture, In-person practical","Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Leicester,Academic Researcher or Lecturer,Expert,"The only toolbox I employ (and just very rarely), it the optimization toolbox.",Expert,I also employ Python and studied (but not used a lot) C++. I love working in the shell.,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,I wasn't aware of a matlab equivalent of the excellent pytest library until I read the question below.,git's command line interface,,Functions,,Not interested,Would like to learn (on my own),Not interested,Already familiar with,Not interested,Not interested,Already familiar with,"Written tutorials, quick access to developers via slack","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Oxford,Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,"Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of and use outside MATLAB,"Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of and use with MATLAB,,MATLAB's source control tools,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials, Blogs","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Strathclyde/James Hutton Institute,"Doctoral Student (PhD/EngD or similar), Postdoctoral Researcher / Research Fellow",Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"MATLAB's source control tools, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Already familiar with,Would like to learn (in structured training),Already familiar with,Already familiar with,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),"Remote (online) lecture, Written tutorials, Video tutorials, Blogs","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
The University of Sheffield,Undergraduate student,Novice,,Novice,,Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"Remote (online) lecture, Remote (online) practical, Video tutorials","Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
UCLouvain - belgium,Doctoral Student (PhD/EngD or similar),Novice,,Novice,,Aware of and use outside MATLAB,"Aware of and use with MATLAB, Aware of and use outside MATLAB",Not aware of,Not aware of,Not aware of,Not aware of,Aware of and use outside MATLAB,Not aware of,,"git's command line interface, GitKraken Client",,Functions,,Not interested,Not interested,Not interested,Already familiar with,Not interested,Would like to learn (on my own),Not interested,"In-person practical, Written tutorials, Video tutorials, help with colleagues, collective coding sessions","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
"Dept. of Mehcanical Engineering, University of Sheffield",Undergraduate student,Novice,,Novice,,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Projects (https://uk.mathworks.com/help/matlab/projects.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person practical, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
"EPFL, Switzerland",Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,"Aware of and use outside MATLAB, Aware of but don't use",Aware of but don't use,Aware of and use outside MATLAB,Not aware of,Aware of and use outside MATLAB,Aware of but don't use,,"I don't use git with MATLAB, GitHub Desktop",,Functions,,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,"In-person practical, One to one ","Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
EPFL,Postdoctoral Researcher / Research Fellow,Competent Practitioner,"i was an expert, but I stopped using matlab a while ago, so my level is lower now cause I'm not up to date with the newest version anymore.",Expert,,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"git's command line interface, sublime merge",The main use of git with matlab I'm doing in this moment is reviewing my students' and collaborators' code.,"Functions, Custom toolbox development","Some of them I just don't use because I'm nto actively using matlab that much anymore, but in general it's due to matlab licensing costs (prohibitive to use matlab properly outside of my work PC) and the difficulty of making it so that users without my same matlab version can use my code as intented - I know matlab runtime environment creation is there for that, but it's really really poor, so instead if I want to use matlab-like environments I end up using Octave, because of the easier way to work with it in a reproducible way. Making at the very least the RE better would be great.",Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),Already familiar with,Already familiar with,"In-person practical, Remote (online) practical, Video tutorials, hands-on practical development (learning through scripting with a positive end-goal)","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
"Queen Mary, University of London",Research Software Engineer/Software Developer,Competent Practitioner,,Expert,"I've developed code where MATLAB calls Java code. I've also tried out C++ MEX, ",Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,"Aware of and use outside MATLAB, Aware of but don't use",,git's command line interface,,"Functions, Classes and Object-Oriented Programming",,Not interested,Would like to learn (in structured training),Not interested,Already familiar with,Not interested,Would like to learn (in structured training),Already familiar with,Written tutorials,"Official documentation, Third-party online guidance, Colleagues",
University of Sheffield,Doctoral Student (PhD/EngD or similar),Novice,,Novice,,Aware of but don't use,Aware of and use outside MATLAB,Not aware of,Not aware of,Aware of but don't use,Not aware of,Not aware of,Not aware of,,I don't use git with MATLAB,,"Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (in structured training),Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person lecture, In-person practical","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
CNRS,Research Software Engineer/Software Developer,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,I don't use git with MATLAB,,"Functions, Projects (https://uk.mathworks.com/help/matlab/projects.html)",,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,,Official documentation,
,Doctoral Student (PhD/EngD or similar),Competent Practitioner,It’s my main programming language ,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Not aware of,Aware of and use outside MATLAB,"Aware of and use with MATLAB, Aware of but don't use",Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,Functions,Having time to,,,,Already familiar with,Not interested,Would like to learn (on my own),,Written tutorials,Online Q&A/Forums/Stack Overflow/MATLAB Central,
The University of Sheffield,Undergraduate student,Novice,"I used MATLAB a little bit when I was doing a summer project at the university, as I was given code to use which was written in MATLAB.",Competent Practitioner,I have used Python to write code quite frequently during my undergraduate degree. I also have some experience in programming in C from one of my modules.,Aware of but don't use,Aware of but don't use,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,Not aware of,Aware of but don't use,"I have been taught about using things like git, GitHub and jupyter notebooks and have used them previously during my modules, but I do not use them anymore.",I don't use git with MATLAB,,I have just used a previously written piece of code for modelling purposes.,Having a better understanding of the associated benefits.,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Not interested,Not interested,"In-person practical, Video tutorials","Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central","I have very limited experience in using MATLAB, but I think it is definitely something that is worth looking into more going forward as people I work with use MATLAB, so having a better understanding of it would be beneficial."
Swansea University,Postdoctoral Researcher / Research Fellow,Competent Practitioner,"Not my first choice of language, but competent enough to teach and troubleshoot it.",Expert,"10+ years of experience with C, Python and other languages","Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,,"git's command line interface, MATLAB's source control tools",,"Functions, MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html)","CI/CD: Only 1 current project that would benefit, and will be looking to add in the near future. Projects often interface with hardware so no meaningful way to test those features in a CI environment.",Not interested,Not interested,Would like to learn (on my own),Already familiar with,Not interested,Already familiar with,Already familiar with,"In-person lecture, In-person practical, Written tutorials, Blogs","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central","We should teach reproducibility (and most good practice) in a generic manner, then show specialisation for individual languages. We shouldn't be teaching proprietary platforms as our primary example."
"Durham University, UK",Academic Researcher or Lecturer,Expert,,Expert,,Aware of but don't use,Aware of and use with MATLAB,Aware of but don't use,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),Already familiar with,Already familiar with,Would like to learn (in structured training),"Remote (online) lecture, Remote (online) practical, Video tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
The University of Sheffield,Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Competent Practitioner,,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of and use outside MATLAB,Aware of but don't use,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of but don't use",Aware of but don't use,"Aware of and use with MATLAB, Aware of and use outside MATLAB",,"git's command line interface, GitKraken Client",,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (in structured training),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Not interested,Not interested,"Remote (online) practical, Written tutorials, Blogs","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Swansea University,Academic Researcher or Lecturer,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,git's command line interface,,"Functions, Classes and Object-Oriented Programming",,Not interested,Not interested,Not interested,Already familiar with,Not interested,Already familiar with,Already familiar with,"In-person practical, Written tutorials","Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",MATLAB is the past and limits science due to it's licencing policies. I (and most others I know) am switching all codes to use python instead. Efforts to support users with python would be more greatly appreciated than for MATLAB.
"Neurobiology Research Unit, Copenhagen, DK","Academic Researcher or Lecturer, Research Software Engineer/Software Developer",Expert,,Expert,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB",,"git's command line interface, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Custom toolbox development",,Not interested,Already familiar with,Not interested,Already familiar with,Already familiar with,Already familiar with,Already familiar with,"In-person practical, Remote (online) lecture, Remote (online) practical, Blogs","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
The University of Sheffield,Doctoral Student (PhD/EngD or similar),Novice,,Competent Practitioner,,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Custom toolbox development",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Not interested,"In-person lecture, Written tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
,Academic Researcher or Lecturer,Competent Practitioner,,Competent Practitioner,,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Not interested,Not interested,,Would like to learn (in structured training),Not interested,Not interested,Not interested,"Remote (online) lecture, Remote (online) practical","Official documentation, Colleagues",
University of Sheffield,Undergraduate student,Competent Practitioner,Currently making use of the software in a professional role during an internship with an aerospace company,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Not aware of,Aware of but don't use,Aware of but don't use,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,,git's command line interface,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)","If it’s advantages were demonstrated to me, or I was more aware of it’s existence",Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person lecture, In-person practical, Remote (online) lecture, Video tutorials",Official documentation,
Staff,Senior Research Engineer,Competent Practitioner,,Novice,,Aware of and use with MATLAB,Aware of but don't use,Not aware of,Not aware of,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",Further training on how to use them well,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person lecture, In-person practical","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
,Academic Researcher or Lecturer,Expert,,Expert,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Not aware of,"Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of but don't use,Aware of but don't use,Aware of but don't use,"(Not clear what was meant by documentation generation, e.g. whether just creation of documentation for code, or something more specific like automated documentation.)",I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Not interested,Not interested,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Not interested,"In-person practical, Written tutorials, Blogs","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
university of sheffield,Postgraduate Masters student,Novice,,Novice,,Not aware of,Not aware of,Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Not aware of,"Aware of but don't use, Not aware of",,I don't use git with MATLAB,,"Projects (https://uk.mathworks.com/help/matlab/projects.html), Simulink",,Would like to learn (in structured training),Not interested,Not interested,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Would like to learn (in structured training),Video tutorials,Online Q&A/Forums/Stack Overflow/MATLAB Central,
Sheffield University,Undergraduate student,Competent Practitioner,I have been a faithful MATLAB user for 4 years for my degree in mechatronic and robotics.,Competent Practitioner,particularly fond of SIMULINK and signal processing.,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,,"I don't use git with MATLAB, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitHub Desktop","BitBucket, jira","Functions, Projects (https://uk.mathworks.com/help/matlab/projects.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development","could highlight in help box when search for it, and advertise it when installing the software",Already familiar with,Already familiar with,Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),"Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials, Blogs","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
UCL,Postdoctoral Researcher / Research Fellow,Expert,,Expert,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,,"GitKraken Client, GitHub Desktop",,"Functions, Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",More integrated with other platforms like github,Would like to learn (on my own),Already familiar with,Not interested,Already familiar with,Not interested,Already familiar with,Already familiar with,"In-person practical, Remote (online) practical, Video tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
UCL,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming",,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested,"Written tutorials, Video tutorials, Blogs","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",Increasingly programme in Python and have no interest in learning anything about Matlab.
University of Sheffield ,Undergraduate student,Novice,,Novice,,Not aware of,Aware of and use with MATLAB,Aware of but don't use,Aware of and use with MATLAB,Not aware of,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,git's command line interface,,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html)",,Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),"In-person lecture, In-person practical, Written tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
SWC,Research Technician,Competent Practitioner,,Novice,,Aware of but don't use,Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Aware of but don't use,Not aware of,Not aware of,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Not interested,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Not interested,"In-person lecture, In-person practical, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Loughborough University,Doctoral Student (PhD/EngD or similar),Expert,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,Not aware of,Aware of but don't use,,git's command line interface,,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html)","If I knew how to use it and could learn it easily, but there's always the priority as a researcher  of using the code rather than maintaining it (for future use!) ",Already familiar with,Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Not interested,Would like to learn (in structured training),Not interested,"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central","I did try the git within the MATLAB gui but found it more of a drag than being useful, I prefer git on the command line; I also think that git on the command line is in principle the most original / full-experience / flexible way of using git. Adding a gui on top of it may limit functionality."
dxfgd,Doctoral Student (PhD/EngD or similar),Competent Practitioner,ghfdh,Novice,fhdf,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,hgfdf,git's command line interface,fgdgs,Projects (https://uk.mathworks.com/help/matlab/projects.html),hfdfg,Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,Remote (online) lecture,Third-party online guidance,fgsdgs
University of Washington student,Postgraduate Masters student,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,"Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html),,Already familiar with,Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (in structured training),Would like to learn (on my own),"In-person lecture, Remote (online) lecture, Remote (online) practical","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
New York University student,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,"Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",,MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html),,Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Already familiar with,Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),"In-person practical, Video tutorials, Blogs","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
